Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
7cdfbf21-3590-4a28-a55c-431a2bbebc5d,2016-08-28 16:54:16,Walking,,0.66,12:07,18:30,3.24,55.0,37,,"","",2016-08-28-165416.gpx
314248ac-e089-446b-8cc9-a743b6c5bba7,2016-08-28 16:27:53,Running,,3.32,25:19,7:38,7.86,345.0,121,,"","",2016-08-28-162753.gpx
d0773074-6ac7-4251-9482-64688bd539f8,2016-08-21 18:20:38,Running,,3.34,26:40,8:00,7.50,348.0,182,,"","",2016-08-21-182038.gpx
01e29634-468f-438b-9e60-f8fbdbb1cfed,2016-08-18 17:37:53,Running,,4.01,31:31,7:51,7.64,415.0,115,,"","",2016-08-18-173753.gpx
fac7eb86-356e-4ccb-b309-fd972220e3ae,2016-08-14 12:21:56,Running,,3.29,47:15,14:22,4.17,309.0,81,,"","Cramp in my left quad after a day of lifting for legs",2016-08-14-122156.gpx
62e5dbfe-3548-403f-9527-7f917e8d7c65,2016-08-08 18:43:48,Running,,3.00,22:40,7:34,7.94,308.0,65,,"","",2016-08-08-184348.gpx
f5110e05-27c9-4292-a0ea-1a851d8c25e3,2016-08-08 14:43:58,Cycling,,3.06,15:10,4:57,12.11,106.0,195,,"","",2016-08-08-144358.gpx
2900aa9e-01e2-40b6-8ca5-0f3ba05f4ffb,2016-08-06 15:19:56,Cycling,,12.78,51:31,4:02,14.88,424.0,562,,"","",2016-08-06-151956.gpx
98c08593-5ddb-4bf0-bb31-038061a196fe,2016-07-27 07:53:24,Cycling,,2.76,17:32,6:22,9.43,110.0,309,,"","",2016-07-27-075324.gpx
aed9650e-4592-4137-af85-151644dbb471,2016-07-04 16:14:40,Running,,3.00,22:13,7:24,8.10,326.0,262,,"","",2016-07-04-161440.gpx
83bc517c-de07-4fdc-ae9b-689a099eeea7,2016-07-02 19:05:43,Running,,4.43,43:35,9:50,6.10,490.0,405,,"","",2016-07-02-190543.gpx
22af7f06-1529-4d0c-b2db-dc5de704b248,2016-06-29 19:05:53,Running,,2.36,20:16,8:35,6.98,255.0,182,,"","Ran between days of ultimate ",2016-06-29-190553.gpx
fae598af-78d3-4acf-9637-fc792c80144f,2016-06-19 19:35:37,Walking,,0.81,19:16,23:44,2.53,62.0,47,,"","",2016-06-19-193537.gpx
44cf1faf-6fa3-43e4-ba2f-797a7684a722,2016-06-12 18:56:54,Running,,3.31,23:59,7:15,8.27,344.0,143,,"","",2016-06-12-185654.gpx
ae3507cf-b0e1-4633-aca0-b104c7ca3e7d,2016-06-11 17:56:10,Hiking,,2.75,55:56,20:20,2.95,260.0,376,,"","",2016-06-11-175610.gpx
1c071e8d-6363-44f0-b19a-29f74f65fec5,2016-06-08 17:29:21,Running,,3.76,35:11,9:21,6.41,391.0,120,,"","",2016-06-08-172921.gpx
8c40a2f2-b019-426d-b35c-84f3b56c3403,2016-06-05 11:03:02,Cycling,,9.71,55:03,5:40,10.58,338.0,167,,"","",2016-06-05-110302.gpx
3626ebff-c593-4be4-92ca-470ea13719cf,2016-06-01 18:58:48,Running,,2.01,16:03,8:01,7.49,214.0,141,,"","",2016-06-01-185848.gpx
d92c98fb-cdf9-4092-a945-6386339d2bb1,2016-06-01 18:40:05,Cycling,,3.17,14:46,4:40,12.88,106.0,167,,"","",2016-06-01-184005.gpx
19861e54-c073-49cc-a252-0ea611a0d0d6,2016-05-08 13:43:11,Cycling,,14.44,1:06:13,4:35,13.08,506.0,238,,"","",2016-05-08-134311.gpx
eed91ce8-0427-4c63-915d-238deb376fa7,2016-05-06 17:06:05,Running,,3.02,26:10,8:40,6.93,313.0,98,,"","Did it the day after a first leg day on several weeks so started off sore",2016-05-06-170605.gpx
c6ab5308-d09a-45a2-b991-a4077c52b06c,2016-05-01 16:53:27,Running,,3.23,25:12,7:48,7.69,338.0,120,,"","",2016-05-01-165327.gpx
a993b37a-142d-4982-9078-76acfbb58f78,2016-04-17 10:01:49,Running,,1.12,9:55,8:51,6.78,112.0,77,,"","",2016-04-17-100149.gpx
d2652b31-2080-4839-bf24-7e6190cb7042,2016-03-08 17:28:48,Running,,3.04,25:32,8:24,7.14,318.0,167,,"","Day after recovery from flu but had been doing 1 mile 3/4 times a eek for several weeks before flu ",2016-03-08-172848.gpx
06b19d7f-1b1e-48f1-b394-9e447a85a6ac,2015-11-15 16:01:41,Running,,6.01,51:24,8:33,7.02,731.0,1571,,"","",2015-11-15-160141.gpx
05e6a6b0-862c-484c-afc9-64626b7db8fb,2015-11-11 17:24:52,Running,,3.55,30:08,8:30,7.06,416.0,882,,"","",2015-11-11-172452.gpx
19000382-501c-4b9d-950e-0e11475c0e86,2015-11-03 16:49:31,Running,,3.91,35:34,9:06,6.59,488.0,1171,,"","",2015-11-03-164931.gpx
f9494258-e033-48e5-864c-c2e841e50e48,2015-11-01 16:13:56,Running,,4.04,34:04,8:26,7.12,418.0,259,,"","",2015-11-01-161356.gpx
b552c1a5-3170-487a-800c-5721b97913ca,2015-10-18 12:32:48,Running,,3.01,28:26,9:26,6.36,352.0,659,,"","",2015-10-18-123248.gpx
9bc0ba5f-1a1c-4946-b032-0d52db087432,2015-10-11 17:04:45,Running,,3.00,22:31,7:30,8.00,370.0,859,,"","",2015-10-11-170445.gpx
0cee414c-14cd-43fa-b835-cb7752bfac3c,2015-10-05 17:42:42,Running,,2.02,17:58,8:55,6.73,247.0,561,,"","",2015-10-05-174242.gpx
ecae1025-f660-4f17-8d1d-e6c12770887d,2015-10-03 12:05:47,Running,,2.82,24:44,8:46,6.84,300.0,266,,"","",2015-10-03-120547.gpx
8310adc4-a534-4b7a-adfd-645b907ae955,2015-09-28 18:41:01,Cycling,,2.60,10:34,4:04,14.75,75.0,111,,"","",2015-09-28-184101.gpx
3ef24da2-2683-4d51-8beb-9f60b3c1a8f3,2015-09-28 18:19:54,Running,,1.75,15:20,8:46,6.84,198.0,298,,"","",2015-09-28-181954.gpx
5801ba5e-9655-4124-b8cf-6067e3d773fa,2015-09-20 11:06:37,Cycling,,15.11,1:04:25,4:16,14.07,608.0,1427,,"","",2015-09-20-110637.gpx
24c13eb7-8165-43a6-a459-2ec1c12170bc,2015-09-16 17:47:50,Running,,0.42,3:43,8:47,6.83,44.0,16,,"","",2015-09-16-174750.gpx
27d9b17a-f5ce-40d2-8c81-0d286985b104,2015-09-13 15:54:04,Running,,2.56,19:46,7:43,7.77,260.0,107,,"","",2015-09-13-155404.gpx
d9f5b86e-550e-4e98-808f-f8b06a0d2ef1,2015-09-07 20:53:06,Running,,3.13,26:30,8:29,7.08,369.0,708,,"","",2015-09-07-205306.gpx
1f14ef34-c937-40c0-b21c-ec12d20a5d1d,2015-09-02 17:49:59,Running,,4.01,33:04,8:15,7.27,453.0,938,,"","",2015-09-02-174959.gpx
f9c6ade8-f685-4321-be09-c64a92252085,2015-08-30 19:36:41,Running,,2.58,20:44,8:03,7.45,314.0,731,,"","",2015-08-30-193641.gpx
3fec3340-b68c-4513-9526-d3f45581d851,2015-08-24 18:33:12,Cycling,,13.57,1:09:21,5:07,11.73,477.0,733,,"","",2015-08-24-183312.gpx
d346ffcc-2e49-4707-bf5f-40bffc0e2bbd,2015-08-23 19:26:51,Running,,2.71,20:26,7:32,7.96,287.0,258,,"","",2015-08-23-192651.gpx
b17a5085-896d-4321-9470-f6c73b3391ad,2015-08-22 11:34:07,Cycling,,17.39,1:26:28,4:58,12.06,571.0,944,,"","",2015-08-22-113407.gpx
cde26373-aa0c-4512-b6c5-bd76692ae15b,2015-08-21 17:49:18,Running,,3.01,28:47,9:35,6.27,316.0,177,,"","",2015-08-21-174918.gpx
4d3ab48e-72a9-4b78-92fd-bbd6e051655d,2015-08-10 18:46:28,Running,,3.43,28:51,8:26,7.12,404.0,754,,"","",2015-08-10-184628.gpx
7b1bdce4-09db-43a6-b08c-32b78b711031,2015-08-08 16:41:36,Cycling,,19.69,1:30:35,4:36,13.04,786.0,2250,,"","",2015-08-08-164136.gpx
065b9dd0-6f8a-4e27-b414-018f40814d6d,2015-08-05 18:59:25,Cycling,,15.46,1:25:32,5:32,10.84,523.0,780,,"","",2015-08-05-185925.gpx
42d308c3-85ba-4865-94c8-320dc12d836f,2015-08-03 18:50:07,Running,,1.42,14:10,10:00,6.00,155.0,301,,"","",2015-08-03-185007.gpx
2d221d2f-f737-4977-8d1d-0d596cbd1f82,2015-08-03 18:43:07,Running,,0.54,5:15,9:44,6.16,54.0,7,,"","",2015-08-03-184307.gpx
c4d1c148-5e48-46c8-bbf9-06eb8a4638cb,2015-07-23 16:49:48,Running,,3.02,23:33,7:48,7.69,367.0,787,,"","",2015-07-23-164948.gpx
28509aa7-17ec-4373-bd18-114345c8efaa,2015-07-05 16:40:29,Running,,1.27,14:00,11:05,5.42,112.0,98,,"","",2015-07-05-164029.gpx
5bc7dea6-db54-49dd-9b5a-69263460b84d,2015-07-03 15:40:07,Running,,2.52,24:18,9:39,6.22,267.0,197,,"","",2015-07-03-154007.gpx
36369703-2718-45e7-b477-a22cc34df768,2015-07-02 18:38:55,Running,,2.25,18:43,8:19,7.21,206.0,194,,"","",2015-07-02-183855.gpx
03143da3-3f93-4810-9d30-33b569ae57bd,2015-06-24 18:10:49,Cycling,,13.03,57:41,4:26,13.55,532.0,1386,,"","",2015-06-24-181049.gpx
aac8e748-ff92-4dbd-9cad-821b0ea5f31a,2015-06-21 17:12:54,Running,,2.15,20:07,9:22,6.41,234.0,505,,"","Sprints back and forth ",2015-06-21-171254.gpx
72bd97a9-5c7c-4263-89e5-7e9e2a2a3e17,2015-06-10 18:55:53,Cycling,,13.77,51:56,3:46,15.90,461.0,637,,"","",2015-06-10-185553.gpx
5f65701a-aed7-4e1f-8fae-c861da5b79ad,2015-06-04 17:46:59,Cycling,,8.51,36:42,4:19,13.92,305.0,426,,"","",2015-06-04-174659.gpx
ef53d415-e2f5-4491-802b-a7efea9f0c66,2015-05-31 17:34:14,Running,,2.00,15:08,7:34,7.92,204.0,86,,"","",2015-05-31-173414.gpx
c21f8136-1dee-45b1-891e-84268a166aac,2015-05-19 17:37:07,Running,,2.69,22:02,8:11,7.34,288.0,242,,"","",2015-05-19-173707.gpx
2c53dfb6-8006-4ee0-b89b-927c8a829daa,2015-04-19 13:50:53,Running,,3.24,31:18,9:40,6.21,390.0,912,,"","",2015-04-19-135053.gpx
f1200bec-1eaa-4264-98f1-80f6e0f6a99d,2015-04-15 17:36:44,Running,,2.29,21:14,9:16,6.47,229.0,76,,"","",2015-04-15-173644.gpx
02b76160-fed1-4757-8ec9-a3bf9df0705f,2015-04-04 10:36:32,Running,,3.50,50:00,14:17,4.20,296.0,0,,"","",
da59f6e7-c5e7-4eaf-8224-414e0df4777b,2015-03-31 17:38:26,Running,,5.31,53:27,10:04,5.96,651.0,1515,,"","",2015-03-31-173826.gpx
694608a2-9952-473b-a1a2-e66cd3faa304,2015-03-21 17:41:17,Running,,2.87,28:22,9:53,6.07,294.0,164,,"","",2015-03-21-174117.gpx
a143596c-d96c-4fb0-a2b8-7b0e5c2a589b,2014-10-26 15:21:37,Running,,3.00,22:35,7:31,7.97,311.524759440483,600,,"","",2014-10-26-152137.gpx
04f570d9-b853-4bb0-9830-e6012d842857,2014-10-16 17:06:27,Running,,5.53,51:03,9:14,6.50,568.136552267201,1120,,"","",2014-10-16-170627.gpx
06639f49-46c1-4b1c-a900-bf829d45dfd9,2014-10-05 17:41:37,Cycling,,2.01,8:49,4:23,13.68,58.0,66,,"","",2014-10-05-174137.gpx
0eabf793-dbe5-44d4-abc6-b9bedb0d1547,2014-10-05 17:06:42,Running,,3.52,29:47,8:29,7.08,370.0,253,,"","",2014-10-05-170642.gpx
8eb978f9-1a23-46cb-a502-d5bdca4ca60c,2014-09-27 14:18:02,Running,,1.41,14:47,10:31,5.70,145.0,80,,"","",2014-09-27-141802.gpx
623976ba-8384-4715-8496-7e97e160ff1b,2014-09-25 18:21:19,Running,,3.00,25:22,8:27,7.10,316.0,181,,"","",2014-09-25-182119.gpx
785adb92-5c9e-4fb7-b09f-2915a6fb72e4,2014-09-14 12:04:55,Running,,2.77,21:13,7:41,7.82,277.0,97,,"","",2014-09-14-120455.gpx
cf86c2fd-a3bd-4244-9448-67c13c421431,2014-09-06 14:29:45,Running,,3.18,28:57,9:06,6.60,321.0,134,,"","",2014-09-06-142945.gpx
19a2b4cc-7ce9-4b89-807f-1690d765684b,2014-08-31 11:35:02,Running,,2.68,20:11,7:33,7.95,272.0,87,,"","",2014-08-31-113502.gpx
68491fac-044d-4ff3-82c4-74e85022464a,2014-08-12 19:06:37,Running,,4.02,32:06,7:59,7.52,420.0,306,,"","",2014-08-12-190637.gpx
22974073-1878-4e25-a7e1-19b4296f9c76,2014-08-10 15:41:51,Cycling,,8.95,38:06,4:16,14.09,353.0,1010,,"","",2014-08-10-154151.gpx
d51386a7-a620-4acf-a142-ef6748e371fd,2014-08-09 18:06:21,Running,,2.00,15:14,7:37,7.88,210.0,133,,"","",2014-08-09-180621.gpx
e64029e7-3d5d-4ccf-9614-3189a86c7721,2014-08-07 18:04:38,Running,,2.48,27:49,11:12,5.36,244.0,49,,"","",2014-08-07-180438.gpx
9477890d-1366-4a23-97b7-842d7acf1b14,2014-08-02 17:54:54,Running,,2.32,13:33,5:50,10.28,159.0,360,,"","",2014-08-02-175454.gpx
2bf9e2fb-6fd4-492d-b04e-57b7cd7ae391,2014-07-29 17:21:57,Running,,1.50,15:40,10:25,5.76,145.0,34,,"","",2014-07-29-172157.gpx
8fb8284b-a25a-4e26-b4b7-3daef908e569,2014-07-25 17:31:22,Running,,3.01,27:08,9:01,6.66,311.0,176,,"","",2014-07-25-173122.gpx
1a321026-d32e-4016-a183-db1b2bacc2d5,2014-07-08 20:25:56,Running,,2.68,21:14,7:56,7.56,267.0,90,,"","",2014-07-08-202556.gpx
a0c5f16d-4635-4bba-bb19-a8808378feb4,2014-07-01 18:27:57,Running,,1.14,10:28,9:10,6.55,118.0,50,,"","",2014-07-01-182757.gpx
3d4ae8e4-1430-4b52-990a-8c9c006fddf0,2014-06-18 18:46:49,Running,,1.47,13:58,9:30,6.32,156.0,131,,"","",2014-06-18-184649.gpx
245e69b0-490b-4813-8468-8375faa137f2,2014-06-18 18:39:09,Running,,0.61,5:02,8:14,7.28,60.0,11,,"","",2014-06-18-183909.gpx
41240685-b935-46d3-8df4-5ca2dc829ef6,2014-06-17 18:32:19,Cycling,,8.92,40:36,4:33,13.17,313.0,415,,"","",2014-06-17-183219.gpx
3bbf0dc8-8eea-4915-b95f-cc6cebd86a8a,2014-06-15 19:35:28,Cycling,,2.05,12:02,5:52,10.22,69.0,65,,"","",2014-06-15-193528.gpx
439444e2-6af5-4beb-9f12-7bab0d13ba2f,2014-06-15 19:26:09,Running,,0.71,7:15,10:10,5.91,74.0,55,,"","",2014-06-15-192609.gpx
15d91937-ca2f-4f2a-bced-c18cef4a50a7,2014-06-15 19:16:10,Cycling,,1.76,8:35,4:52,12.32,68.0,213,,"","",2014-06-15-191610.gpx
6c9f8ea2-dce5-414e-8244-b33b727a90f6,2014-06-14 18:56:55,Running,,2.60,23:02,8:51,6.77,280.0,217,,"","",2014-06-14-185655.gpx
ec6f7e95-fefb-4492-a187-446bac42c40d,2014-06-12 17:42:42,Cycling,,14.28,1:09:43,4:53,12.29,458.0,602,,"","",2014-06-12-174242.gpx
2f73f74e-1098-4f3c-a1e9-51b707c568b4,2014-06-11 20:16:04,Running,,1.25,14:42,11:45,5.11,124.0,52,,"","",2014-06-11-201604.gpx
d9020fc0-217b-4bbf-a238-d0cb3393a4b1,2014-06-08 16:09:21,Cycling,,6.46,30:34,4:44,12.68,205.0,250,,"","",2014-06-08-160921.gpx
09ee1484-41e0-4467-801a-609909738f0f,2014-06-05 17:24:05,Running,,2.01,15:49,7:53,7.61,210.0,144,,"","",2014-06-05-172405.gpx
66d0c3ea-4c15-4839-9dea-0acd2b65de4d,2014-06-01 14:07:48,Cycling,,6.93,30:49,4:27,13.48,230.0,398,,"","",2014-06-01-140748.gpx
ec3a49a1-1c5a-4109-9fc2-977d6cc018d3,2014-05-30 18:41:49,Running,,1.23,10:02,8:10,7.35,131.0,164,,"","",2014-05-30-184149.gpx
52d6c29a-6e98-4032-9b7d-b6bc773c7589,2014-05-28 18:41:01,Cycling,,3.01,12:32,4:10,14.42,100.0,163,,"","",2014-05-28-184101.gpx
a0c3c557-0c2c-468e-881a-0329f3234d73,2014-05-28 17:49:44,Running,,2.10,16:36,7:55,7.58,221.0,109,,"","",2014-05-28-174944.gpx
24ad6b18-4684-4025-9118-343ca7b2f076,2014-05-22 18:13:19,Running,,3.59,29:22,8:11,7.33,387.0,350,,"","",2014-05-22-181319.gpx
11832400-5c0d-46bf-9d4c-f778e282c7af,2014-05-21 18:09:21,Running,,2.22,16:56,7:37,7.88,222.0,63,,"","",2014-05-21-180921.gpx
32995484-7bb2-4cb5-9cd3-0e2910fe36ea,2014-05-20 18:03:24,Running,,1.43,10:12,7:08,8.40,144.0,53,,"","",2014-05-20-180324.gpx
cdf6d55e-742f-402b-a3dd-3f99811d222f,2014-05-18 11:49:26,Running,,3.01,25:08,8:21,7.18,315.0,168,,"","",2014-05-18-114926.gpx
7c9e6793-9fae-443b-a00f-b03d5be8f830,2014-05-14 18:18:39,Running,,2.27,20:08,8:52,6.77,230.0,70,,"","",2014-05-14-181839.gpx
06820469-a7ba-423c-b83c-04f5d5f552b6,2014-04-25 18:01:06,Running,,2.10,17:32,8:21,7.19,210.0,51,,"","",2014-04-25-180106.gpx
0fd5544d-398d-4fa8-9748-3de17b92f358,2014-04-10 18:34:57,Running,,3.03,22:13,7:20,8.17,307.0,68,,"","",2014-04-10-183457.gpx
59badd5c-f2e7-4d40-ac17-678309c36cff,2014-04-07 18:21:20,Running,,2.26,18:27,8:09,7.36,235.0,113,,"","",2014-04-07-182120.gpx
6d7b4729-5983-49b9-b2e6-6c5cf3fb9414,2014-01-09 19:15:32,Running,,0.78,13:18,17:06,3.51,65.0,3,,"","",2014-01-09-191532.gpx
6da2b60c-6b3f-4882-9b70-051b62f00a36,2014-01-07 17:39:29,Running,,0.92,15:25,16:46,3.58,77.0,8,,"","",2014-01-07-173929.gpx
cb8e23cc-4896-4c57-9d70-09b8582d0f18,2013-10-17 17:53:51,Running,,0.27,3:24,12:48,4.69,27.0,22,,"","",2013-10-17-175351.gpx
43ddc613-1a58-49e9-8cef-150e59950e7c,2013-10-17 17:20:40,Running,,3.51,28:13,8:02,7.46,358.0,100,,"","",2013-10-17-172040.gpx
3e72580d-5908-49d4-8e12-aa3e46ed7858,2013-10-13 16:41:43,Running,,3.02,22:21,7:24,8.10,305.0,137,,"","",2013-10-13-164143.gpx
6b569601-1f35-4a80-931a-b7f1883a6c80,2013-10-08 18:01:27,Running,,3.26,26:03,8:00,7.50,340.0,178,,"","",2013-10-08-180127.gpx
5bd904c8-b66f-440c-9bb0-280ecb4773cf,2013-09-30 17:56:05,Running,,3.01,23:52,7:56,7.56,403.0,1161,,"","",2013-09-30-175605.gpx
c3b4316c-9e05-4f6e-a9fc-ef65ccc7d21d,2013-09-23 17:42:53,Running,,3.01,24:50,8:16,7.26,309.0,80,,"","",2013-09-23-174253.gpx
d829e556-7b34-4769-a02d-366bef7d372e,2013-09-16 17:44:42,Running,,3.71,27:58,7:32,7.96,377.0,96,,"","",2013-09-16-174442.gpx
352e2dc8-22ec-4607-8a75-71b2e443a494,2013-09-11 17:53:55,Running,,3.01,23:18,7:45,7.74,310.0,89,,"","",2013-09-11-175355.gpx
932942d6-7e9c-4e64-91a3-0d42337db6bb,2013-09-07 11:33:54,Running,,3.19,24:43,7:45,7.74,325.0,84,,"","",2013-09-07-113354.gpx
9c446f7a-3dd2-4429-a20b-ef94784c3084,2013-09-02 18:00:50,Running,,3.70,33:01,8:56,6.72,367.0,144,,"","",2013-09-02-180050.gpx
d043c8b4-c734-4977-bb08-88bb3114ea30,2013-08-29 17:44:44,Running,,2.52,20:21,8:04,7.44,258.0,87,,"","",2013-08-29-174444.gpx
7d28fe62-ec47-44f9-a34a-00677f95bdfb,2013-08-21 18:53:28,Cycling,,1.74,7:08,4:07,14.60,58.0,64,,"","",2013-08-21-185328.gpx
1042835b-0a19-4764-b5db-9d29f3f7218d,2013-08-20 17:51:07,Running,,3.19,26:22,8:16,7.26,331.0,102,,"","",2013-08-20-175107.gpx
7023446a-7473-4bea-b7fe-475bf6c778bb,2013-08-17 15:17:47,Running,,2.63,24:39,9:23,6.39,269.0,80,,"","",2013-08-17-151747.gpx
842b3c60-0c17-4702-b220-e9dd93c25e36,2013-08-03 13:17:15,Running,,2.01,17:17,8:37,6.97,213.0,136,,"","",2013-08-03-131715.gpx
6a3f6fb3-f418-4a85-8424-a0250fc16c6d,2013-07-12 18:19:58,Running,,2.17,18:35,8:34,7.01,224.0,195,,"","",2013-07-12-181958.gpx
fe390db1-8556-4c62-8ad8-53906644bfaf,2013-07-12 17:29:58,Cycling,,4.92,23:48,4:50,12.40,168.0,193,,"","",2013-07-12-172958.gpx
501d1040-fdb2-4d24-9b89-157b67334348,2013-07-06 17:05:52,Running,,1.87,22:35,12:03,4.98,186.0,154,,"","",2013-07-06-170552.gpx
f6ee398e-e4cc-4b2c-99cb-d161946f851b,2013-07-05 15:51:31,Running,,3.51,29:17,8:21,7.19,376.0,259,,"","",2013-07-05-155131.gpx
16bf5733-a525-443e-881d-97e6e5a4060b,2013-07-02 17:49:14,Cycling,,5.62,22:59,4:06,14.66,183.0,352,,"","",2013-07-02-174914.gpx
b4455f93-aa51-49e8-ac33-a57c9716d89c,2013-06-26 17:01:03,Cycling,,12.61,59:25,4:43,12.73,423.0,900,,"","",2013-06-26-170103.gpx
59500d93-e598-4bfb-a869-eebaf4d20521,2013-06-25 18:45:23,Cycling,,7.09,34:11,4:49,12.45,242.0,316,,"","",2013-06-25-184523.gpx
9b5fb333-1e45-4e94-a1a3-d655af0d321b,2013-06-23 16:51:25,Cycling,,7.81,34:12,4:23,13.70,264.0,439,,"","",2013-06-23-165125.gpx
1a495cce-38bb-4db9-a586-db604b2c0195,2013-06-20 18:08:32,Cycling,,11.60,55:04,4:45,12.64,408.0,377,,"","",2013-06-20-180832.gpx
9123ac7d-c716-45c7-ac33-54422fd348b2,2013-06-15 14:01:02,Cycling,,15.38,1:05:50,4:17,14.01,502.0,540,,"","",2013-06-15-140102.gpx
3ed28b98-619f-4a16-a106-ea9cffb6c25b,2013-06-13 18:05:45,Cycling,,16.03,53:28,3:20,17.99,416.0,447,,"","",2013-06-13-180545.gpx
b808ae27-b63d-4001-ae2c-a2112ef6fcb7,2013-06-02 15:05:06,Cycling,,8.06,34:14,4:15,14.12,256.0,376,,"","",2013-06-02-150506.gpx
6f87c991-12b4-467a-8a27-b18bf7f50091,2013-06-01 14:05:51,Cycling,,8.71,36:37,4:12,14.27,278.0,387,,"","",2013-06-01-140551.gpx
76b6768a-29bc-4c38-b6d1-297671ca1e13,2013-05-21 17:09:10,Cycling,,9.32,36:57,3:58,15.13,309.0,377,,"","",2013-05-21-170910.gpx
c5c35df5-c413-45f4-a8da-c9e540a152af,2013-05-20 20:05:46,Cycling,,8.48,33:44,3:59,15.08,278.0,421,,"","",2013-05-20-200546.gpx
9ef510be-9631-4ed3-9888-b8254e2855a5,2012-10-10 17:18:39,Running,,3.76,45:00,11:57,5.02,373.0,10,,"","",2012-10-10-171839.gpx
ea57bd0f-8290-4dd8-bd3c-5129e14abe0c,2012-10-02 08:48:59,Running,,4.10,31:00,7:34,7.93,425.0,21,,"","",2012-10-02-084859.gpx
a10e2b6b-1c07-4ba2-948e-fc60be7fa8f9,2012-09-20 18:20:54,Running,,4.14,32:00,7:43,7.77,428.0,24,,"","good. didn't stop at all",2012-09-20-182054.gpx
d5874ef9-c8f1-421f-83e1-4d7a4cd44e1b,2012-09-18 20:40:49,Running,,3.00,23:40,7:53,7.61,307.0,0,,"","",
992f7d66-a759-4c84-82f9-5e49d1331e53,2012-09-16 12:20:00,Running,,3.10,26:00,8:23,7.15,311.0,0,,"","",
3c95b938-cdf4-4ee4-b392-0950f8bc11de,2012-09-13 23:26:37,Rowing,,1.24,9:40,7:48,7.70,92.0,0,,"","",
f16b8be7-7152-4a9f-aff8-1ba778444bb1,2012-09-13 23:25:45,Running,,3.36,28:00,8:20,7.20,338.0,0,,"","",
94137f23-71db-46ed-a6b4-ca68dfec31d2,2012-09-13 09:55:41,Running,,2.00,20:00,10:00,6.00,204.0,0,,"","",
b9df9208-921c-40ac-bde0-1951aab404a2,2012-09-10 18:53:28,Running,,3.89,32:00,8:14,7.29,393.0,7,,"","",2012-09-10-185328.gpx
2745f975-0a22-4e57-b2f9-5c878c2e2abc,2012-09-06 18:35:15,Running,,3.80,40:00,10:31,5.70,397.0,42,,"","",2012-09-06-183515.gpx
f6d4d8fe-b146-4097-98c6-02f12498adbc,2012-09-05 17:12:45,Cycling,,6.04,40:00,6:37,9.06,163.0,1,,"","",2012-09-05-171245.gpx
81c19b95-e73c-4d39-9b8b-365e62f4e98f,2012-09-02 17:13:21,Running,,3.94,40:00,10:08,5.92,406.0,23,,"","",2012-09-02-171321.gpx
f97ff2a0-1d50-401a-a1ee-02be8e660182,2012-08-31 16:46:39,Running,,3.49,50:43,14:31,4.13,277.0,2,,"","",2012-08-31-164639.gpx
0ae90a0a-0c7d-4d77-a78d-3afe43bfa459,2012-08-29 18:00:00,Running,,2.99,41:57,14:00,4.28,246.0,0,,"","",2012-08-29-180000.gpx
bb7da1ac-623f-45c5-8729-4d4117b49a25,2012-08-14 14:29:00,Running,,5.15,49:59,9:43,6.18,506.0,44,,"","I stopped to jump over a fence on the bridge.",2012-08-14-142900.gpx
7d61657c-a095-4fad-b979-6af6593cd742,2012-08-13 17:39:00,Running,,3.52,30:00,8:31,7.04,354.0,31,,"","Good",2012-08-13-173900.gpx
cc904cc9-2eef-4d69-8a56-feee421e9f11,2012-08-09 17:01:00,Running,"Typical Route",3.77,30:00,7:58,7.53,390.0,51,,"","",2012-08-09-170100.gpx
4fc6167c-4f27-4c4e-82a2-02f15b2b157c,2011-07-06 17:30:23,Running,,3.22,38:35,12:00,5.00,383.0,129,,"Kaitlin,","",2011-07-06-173023.gpx
